rheaid	reactionEquation	compoundID_L	compoundID_R	compoundName_L	compoundName_R
RHEA:38567	1,2-diacyl-sn-glycero-3-phospho-L-serine(out) + ATP + H2O = 1,2-diacyl-sn-glycero-3-phospho-L-serine(in) + ADP + H(+) + phosphate	CHEBI:15377,CHEBI:30616,CHEBI:57262	CHEBI:456216,CHEBI:15378,CHEBI:43474,CHEBI:57262	H2O,ATP,1,2-diacyl-sn-glycero-3-phospho-L-serine	ADP,H(+),phosphate,1,2-diacyl-sn-glycero-3-phospho-L-serine
RHEA:38583	a 1,2-diacyl-sn-glycero-3-phosphocholine(out) + ATP + H2O = a 1,2-diacyl-sn-glycero-3-phosphocholine(in) + ADP + H(+) + phosphate	CHEBI:15377,CHEBI:57643,CHEBI:30616	CHEBI:456216,CHEBI:15378,CHEBI:57643,CHEBI:43474	H2O,a 1,2-diacyl-sn-glycero-3-phosphocholine,ATP	ADP,H(+),a 1,2-diacyl-sn-glycero-3-phosphocholine,phosphate
RHEA:38679	ATP + H2O + sphinganine(in) = ADP + H(+) + phosphate + sphinganine(out)	CHEBI:15377,CHEBI:30616,CHEBI:57817	CHEBI:456216,CHEBI:15378,CHEBI:43474,CHEBI:57817	H2O,ATP,sphinganine	ADP,H(+),phosphate,sphinganine
RHEA:38683	ATP + H2O + sphing-4-enine(in) = ADP + H(+) + phosphate + sphing-4-enine(out)	CHEBI:15377,CHEBI:30616,CHEBI:57756	CHEBI:456216,CHEBI:15378,CHEBI:43474,CHEBI:57756	H2O,ATP,sphing-4-enine	ADP,H(+),phosphate,sphing-4-enine
RHEA:38687	4-hydroxysphinganine(in) + ATP + H2O = 4-hydroxysphinganine(out) + ADP + H(+) + phosphate	CHEBI:64124,CHEBI:15377,CHEBI:30616	CHEBI:64124,CHEBI:456216,CHEBI:15378,CHEBI:43474	4-hydroxysphinganine,H2O,ATP	4-hydroxysphinganine,ADP,H(+),phosphate
RHEA:38715	ATP + choline(out) + H2O = ADP + choline(in) + H(+) + phosphate	CHEBI:15377,CHEBI:15354,CHEBI:30616	CHEBI:456216,CHEBI:15378,CHEBI:15354,CHEBI:43474	H2O,choline,ATP	ADP,H(+),choline,phosphate
RHEA:38719	(R)-carnitine(out) + ATP + H2O = (R)-carnitine(in) + ADP + H(+) + phosphate	CHEBI:15377,CHEBI:16347,CHEBI:30616	CHEBI:456216,CHEBI:15378,CHEBI:16347,CHEBI:43474	H2O,(R)-carnitine,ATP	ADP,H(+),(R)-carnitine,phosphate
RHEA:38903	ATP + H2O + sphingomyelin(in) = ADP + H(+) + phosphate + sphingomyelin(out)	CHEBI:15377,CHEBI:30616,CHEBI:17636	CHEBI:456216,CHEBI:15378,CHEBI:43474,CHEBI:17636	H2O,ATP,sphingomyelin	ADP,H(+),phosphate,sphingomyelin
RHEA:38967	an N-acylsphing-4-enine(in) + ATP + H2O = ADP + an N-acylsphing-4-enine(out) + H(+) + phosphate	CHEBI:15377,CHEBI:52639,CHEBI:30616	CHEBI:456216,CHEBI:15378,CHEBI:52639,CHEBI:43474	H2O,an N-acylsphing-4-enine,ATP	ADP,H(+),an N-acylsphing-4-enine,phosphate
RHEA:39051	ATP + cholesterol(in) + H2O = ADP + cholesterol(out) + H(+) + phosphate	CHEBI:15377,CHEBI:16113,CHEBI:30616	CHEBI:456216,CHEBI:16113,CHEBI:15378,CHEBI:43474	H2O,cholesterol,ATP	ADP,cholesterol,H(+),phosphate
RHEA:39279	ATP + dodecanoate(out) + H2O = ADP + dodecanoate(in) + H(+) + phosphate	CHEBI:18262,CHEBI:15377,CHEBI:30616	CHEBI:18262,CHEBI:456216,CHEBI:15378,CHEBI:43474	dodecanoate,H2O,ATP	dodecanoate,ADP,H(+),phosphate
RHEA:39711	O2 + 2 reduced coenzyme F420-(gamma-Glu)(n) = 2 H(+) + 2 H2O + 2 oxidized coenzyme F420-(gamma-Glu)(n)	POLYMER:14378,CHEBI:15379	CHEBI:15377,CHEBI:15378,POLYMER:12939	reduced coenzyme F420-(gamma-Glu)(n),O2	H2O,H(+),oxidized coenzyme F420-(gamma-Glu)(n)
RHEA:40215	FADH2 + O2 = FAD + H(+) + H2O2	CHEBI:15379,CHEBI:58307	CHEBI:57692,CHEBI:16240,CHEBI:15378	O2,FADH2	FAD,H2O2,H(+)
RHEA:40327	1,2-di-(9Z-octadecenoyl)-sn-glycerol + ATP = 1,2-di-(9Z-octadecenoyl)-sn-glycero-3-phosphate + ADP + H(+)	CHEBI:52333,CHEBI:30616	CHEBI:74546,CHEBI:456216,CHEBI:15378	1,2-di-(9Z-octadecenoyl)-sn-glycerol,ATP	1,2-di-(9Z-octadecenoyl)-sn-glycero-3-phosphate,ADP,H(+)
RHEA:40527	2 a ubiquinol + 4 H(+)(in) + O2(in) = 2 a ubiquinone + 4 H(+)(out) + 2 H2O(in)	CHEBI:15379,CHEBI:15378,POLYMER:9566	CHEBI:15377,CHEBI:15378,POLYMER:9565	O2,H(+),a ubiquinol	H2O,H(+),a ubiquinone
RHEA:41964	butanoyl-CoA + O2 = (2E)-butenoyl-CoA + H2O2	CHEBI:15379,CHEBI:57371	CHEBI:57332,CHEBI:16240	O2,butanoyl-CoA	(2E)-butenoyl-CoA,H2O2
RHEA:42316	a 2-oxocarboxylate + CoA + 2 oxidized [2Fe-2S]-[ferredoxin] = an acyl-CoA + CO2 + H(+) + 2 reduced [2Fe-2S]-[ferredoxin]	GENERIC:10000,CHEBI:57287,CHEBI:35179	GENERIC:10001,CHEBI:15378,CHEBI:58342,CHEBI:16526	oxidized [2Fe-2S]-[ferredoxin],CoA,a 2-oxocarboxylate	reduced [2Fe-2S]-[ferredoxin],H(+),an acyl-CoA,CO2
RHEA:42764	formate + 2 H(+) + oxidized coenzyme F420-(gamma-Glu)(n) = CO2 + reduced coenzyme F420-(gamma-Glu)(n)	CHEBI:15740,CHEBI:15378,POLYMER:12939	POLYMER:14378,CHEBI:16526	formate,H(+),oxidized coenzyme F420-(gamma-Glu)(n)	reduced coenzyme F420-(gamma-Glu)(n),CO2
RHEA:43120	2-oxoglutarate + O2 + xanthine = CO2 + succinate + urate	CHEBI:15379,CHEBI:16810,CHEBI:17712	CHEBI:30031,CHEBI:16526,CHEBI:17775	O2,2-oxoglutarate,xanthine	succinate,CO2,urate
RHEA:43740	ATP + CoA + hexanoate = AMP + diphosphate + hexanoyl-CoA	CHEBI:57287,CHEBI:30616,CHEBI:17120	CHEBI:62620,CHEBI:33019,CHEBI:456215	CoA,ATP,hexanoate	hexanoyl-CoA,diphosphate,AMP
RHEA:44140	CoA + 2 H(+) + oxidized [flavodoxin] + pyruvate = acetyl-CoA + CO2 + reduced [flavodoxin]	CHEBI:57287,CHEBI:15378,CHEBI:15361,GENERIC:10623	CHEBI:57288,CHEBI:16526,GENERIC:10622	CoA,H(+),pyruvate,oxidized [flavodoxin]	acetyl-CoA,CO2,reduced [flavodoxin]
RHEA:44544	a fatty acid(out) + ATP + H2O = a fatty acid(in) + ADP + H(+) + phosphate	CHEBI:15377,CHEBI:28868,CHEBI:30616	CHEBI:456216,CHEBI:15378,CHEBI:43474,CHEBI:28868	H2O,a fatty acid,ATP	ADP,H(+),phosphate,a fatty acid
RHEA:45024	cholesterol + H(+) + NADPH + O2 = cholesta-5,7-dien-3beta-ol + 2 H2O + NADP(+)	CHEBI:15379,CHEBI:16113,CHEBI:15378,CHEBI:57783	CHEBI:15377,CHEBI:58349,CHEBI:17759	O2,cholesterol,H(+),NADPH	H2O,NADP(+),cholesta-5,7-dien-3beta-ol
RHEA:45160	3-oxopropanoate + H(+) = acetaldehyde + CO2	CHEBI:15378,CHEBI:33190	CHEBI:15343,CHEBI:16526	H(+),3-oxopropanoate	acetaldehyde,CO2
RHEA:45484	H(+) + pyruvate = acetaldehyde + CO2	CHEBI:15378,CHEBI:15361	CHEBI:15343,CHEBI:16526	H(+),pyruvate	acetaldehyde,CO2
RHEA:45824	H(+) + L-serine = CO2 + ethanolamine	CHEBI:15378,CHEBI:33384	CHEBI:57603,CHEBI:16526	H(+),L-serine	ethanolamine,CO2
RHEA:46172	ATP + butanoate + CoA = AMP + butanoyl-CoA + diphosphate	CHEBI:57287,CHEBI:17968,CHEBI:30616	CHEBI:33019,CHEBI:456215,CHEBI:57371	CoA,butanoate,ATP	diphosphate,AMP,butanoyl-CoA
RHEA:46276	(S)-malate + H(+) = (S)-lactate + CO2	CHEBI:15378,CHEBI:15589	CHEBI:16651,CHEBI:16526	H(+),(S)-malate	(S)-lactate,CO2
RHEA:46952	2 formate + NAD(+) + 2 oxidized [2Fe-2S]-[ferredoxin] = 2 CO2 + H(+) + NADH + 2 reduced [2Fe-2S]-[ferredoxin]	GENERIC:10000,CHEBI:15740,CHEBI:57540	GENERIC:10001,CHEBI:57945,CHEBI:15378,CHEBI:16526	oxidized [2Fe-2S]-[ferredoxin],formate,NAD(+)	reduced [2Fe-2S]-[ferredoxin],NADH,H(+),CO2
RHEA:48592	a quinone + formate + H(+) = a quinol + CO2	CHEBI:132124,CHEBI:15740,CHEBI:15378	CHEBI:24646,CHEBI:16526	a quinone,formate,H(+)	a quinol,CO2
RHEA:48880	a quinone + CO + H2O = a quinol + CO2	CHEBI:15377,CHEBI:132124,CHEBI:17245	CHEBI:24646,CHEBI:16526	H2O,a quinone,CO	a quinol,CO2
RHEA:49280	FADH2 + O2 + phenol = catechol + FAD + H(+) + H2O	CHEBI:15882,CHEBI:15379,CHEBI:58307	CHEBI:15377,CHEBI:57692,CHEBI:18135,CHEBI:15378	phenol,O2,FADH2	H2O,FAD,catechol,H(+)
RHEA:49636	H2O + methylglyoxal + O2 = H(+) + H2O2 + pyruvate	CHEBI:15379,CHEBI:15377,CHEBI:17158	CHEBI:16240,CHEBI:15378,CHEBI:15361	O2,H2O,methylglyoxal	H2O2,H(+),pyruvate
RHEA:50048	ATP + cholate(in) + H2O = ADP + cholate(out) + H(+) + phosphate	CHEBI:15377,CHEBI:29747,CHEBI:30616	CHEBI:456216,CHEBI:15378,CHEBI:29747,CHEBI:43474	H2O,cholate,ATP	ADP,H(+),cholate,phosphate
RHEA:50248	ATP + D-ribose 5-phosphate + H(+) = ADP-D-ribose + diphosphate	CHEBI:15378,CHEBI:30616,CHEBI:78346	CHEBI:33019,CHEBI:57967	H(+),ATP,D-ribose 5-phosphate	diphosphate,ADP-D-ribose
RHEA:50428	methanethiol + S-adenosyl-L-methionine = dimethyl sulfide + H(+) + S-adenosyl-L-homocysteine	CHEBI:16007,CHEBI:59789	CHEBI:17437,CHEBI:15378,CHEBI:57856	methanethiol,S-adenosyl-L-methionine	dimethyl sulfide,H(+),S-adenosyl-L-homocysteine
RHEA:50916	a carboxylate + ATP + H(+) + NADPH = AMP + an aldehyde + diphosphate + NADP(+)	CHEBI:15378,CHEBI:57783,CHEBI:29067,CHEBI:30616	CHEBI:33019,CHEBI:456215,CHEBI:17478,CHEBI:58349	H(+),NADPH,a carboxylate,ATP	diphosphate,AMP,an aldehyde,NADP(+)
RHEA:51580	a fatty acid(out) + ATP(in) + CoA(in) + H(+)(out) = AMP(in) + an acyl-CoA(in) + diphosphate(in) + H(+)(in)	CHEBI:57287,CHEBI:15378,CHEBI:28868,CHEBI:30616	CHEBI:33019,CHEBI:456215,CHEBI:15378,CHEBI:58342	CoA,H(+),a fatty acid,ATP	diphosphate,AMP,H(+),an acyl-CoA
RHEA:51644	cholesterol + H(+) + NADH + O2 = cholesta-5,7-dien-3beta-ol + 2 H2O + NAD(+)	CHEBI:15379,CHEBI:57945,CHEBI:16113,CHEBI:15378	CHEBI:15377,CHEBI:57540,CHEBI:17759	O2,NADH,cholesterol,H(+)	H2O,NAD(+),cholesta-5,7-dien-3beta-ol
RHEA:51716	ATP(in) + CoA(in) + H(+)(out) + hexadecanoate(out) = AMP(in) + diphosphate(in) + H(+)(in) + hexadecanoyl-CoA(in)	CHEBI:57287,CHEBI:15378,CHEBI:7896,CHEBI:30616	CHEBI:33019,CHEBI:456215,CHEBI:15378,CHEBI:57379	CoA,H(+),hexadecanoate,ATP	diphosphate,AMP,H(+),hexadecanoyl-CoA
RHEA:51720	ATP(in) + CoA(in) + H(+)(out) + octadecanoate(out) = AMP(in) + diphosphate(in) + H(+)(in) + octadecanoyl-CoA(in)	CHEBI:25629,CHEBI:57287,CHEBI:15378,CHEBI:30616	CHEBI:33019,CHEBI:456215,CHEBI:15378,CHEBI:57394	octadecanoate,CoA,H(+),ATP	diphosphate,AMP,H(+),octadecanoyl-CoA
RHEA:51808	(9Z)-octadecenoate(out) + ATP(in) + CoA(in) + H(+)(out) = (9Z)-octadecenoyl-CoA(in) + AMP(in) + diphosphate(in) + H(+)(in)	CHEBI:57287,CHEBI:15378,CHEBI:30616,CHEBI:30823	CHEBI:33019,CHEBI:456215,CHEBI:15378,CHEBI:57387	CoA,H(+),ATP,(9Z)-octadecenoate	diphosphate,AMP,H(+),(9Z)-octadecenoyl-CoA
RHEA:51812	ATP(in) + CoA(in) + H(+)(out) + tetradecanoate(out) = AMP(in) + diphosphate(in) + H(+)(in) + tetradecanoyl-CoA(in)	CHEBI:30807,CHEBI:57287,CHEBI:15378,CHEBI:30616	CHEBI:33019,CHEBI:57385,CHEBI:456215,CHEBI:15378	tetradecanoate,CoA,H(+),ATP	diphosphate,tetradecanoyl-CoA,AMP,H(+)
RHEA:51816	ATP(in) + CoA(in) + dodecanoate(out) + H(+)(out) = AMP(in) + diphosphate(in) + dodecanoyl-CoA(in) + H(+)(in)	CHEBI:18262,CHEBI:57287,CHEBI:15378,CHEBI:30616	CHEBI:33019,CHEBI:456215,CHEBI:15378,CHEBI:57375	dodecanoate,CoA,H(+),ATP	diphosphate,AMP,H(+),dodecanoyl-CoA
RHEA:51824	ATP(in) + CoA(in) + H(+)(out) + octanoate(out) = AMP(in) + diphosphate(in) + H(+)(in) + octanoyl-CoA(in)	CHEBI:25646,CHEBI:57287,CHEBI:15378,CHEBI:30616	CHEBI:33019,CHEBI:456215,CHEBI:15378,CHEBI:57386	octanoate,CoA,H(+),ATP	diphosphate,AMP,H(+),octanoyl-CoA
RHEA:51832	ATP(in) + CoA(in) + H(+)(out) + tetracosanoate(out) = AMP(in) + diphosphate(in) + H(+)(in) + tetracosanoyl-CoA(in)	CHEBI:31014,CHEBI:57287,CHEBI:15378,CHEBI:30616	CHEBI:65052,CHEBI:33019,CHEBI:456215,CHEBI:15378	tetracosanoate,CoA,H(+),ATP	tetracosanoyl-CoA,diphosphate,AMP,H(+)
RHEA:51844	(9Z)-hexadecenoate(out) + ATP(in) + CoA(in) + H(+)(out) = (9Z)-hexadecenoyl-CoA(in) + AMP(in) + diphosphate(in) + H(+)(in)	CHEBI:32372,CHEBI:57287,CHEBI:15378,CHEBI:30616	CHEBI:61540,CHEBI:33019,CHEBI:456215,CHEBI:15378	(9Z)-hexadecenoate,CoA,H(+),ATP	(9Z)-hexadecenoyl-CoA,diphosphate,AMP,H(+)
RHEA:51852	(9Z,12Z)-octadecadienoate(out) + ATP(in) + CoA(in) + H(+)(out) = (9Z,12Z)-octadecadienoyl-CoA(in) + AMP(in) + diphosphate(in) + H(+)(in)	CHEBI:57287,CHEBI:15378,CHEBI:30616,CHEBI:30245	CHEBI:57383,CHEBI:33019,CHEBI:456215,CHEBI:15378	CoA,H(+),ATP,(9Z,12Z)-octadecadienoate	(9Z,12Z)-octadecadienoyl-CoA,diphosphate,AMP,H(+)
RHEA:52324	2 L-arginine + 4 O2 + 3 reduced [flavodoxin] = 5 H(+) + 4 H2O + 2 L-citrulline + 2 nitric oxide + 3 oxidized [flavodoxin]	CHEBI:15379,CHEBI:32682,GENERIC:10622	CHEBI:15377,CHEBI:15378,CHEBI:16480,CHEBI:57743,GENERIC:10623	O2,L-arginine,reduced [flavodoxin]	H2O,H(+),nitric oxide,L-citrulline,oxidized [flavodoxin]
RHEA:52532	adenosine + GTP = AMP + GDP + H(+)	CHEBI:16335,CHEBI:37565	CHEBI:456215,CHEBI:15378,CHEBI:58189	adenosine,GTP	AMP,H(+),GDP
RHEA:55376	2 a quinol + O2 = 2 a quinone + 2 H2O	CHEBI:15379,CHEBI:24646	CHEBI:15377,CHEBI:132124	O2,a quinol	H2O,a quinone
RHEA:55796	H(+) + NADH + O2 + phenol = H2O + hydroquinone + NAD(+)	CHEBI:15882,CHEBI:15379,CHEBI:57945,CHEBI:15378	CHEBI:15377,CHEBI:17594,CHEBI:57540	phenol,O2,NADH,H(+)	H2O,hydroquinone,NAD(+)
RHEA:55868	(S)-lactate + O2 = H2O2 + pyruvate	CHEBI:15379,CHEBI:16651	CHEBI:16240,CHEBI:15361	O2,(S)-lactate	H2O2,pyruvate
RHEA:56140	H2O + S-adenosyl-L-methionine = adenosine + H(+) + L-methionine	CHEBI:15377,CHEBI:59789	CHEBI:57844,CHEBI:16335,CHEBI:15378	H2O,S-adenosyl-L-methionine	L-methionine,adenosine,H(+)
RHEA:57720	ATP + 4 H(+)(in) + H2O = ADP + 5 H(+)(out) + phosphate	CHEBI:15377,CHEBI:15378,CHEBI:30616	CHEBI:456216,CHEBI:15378,CHEBI:43474	H2O,H(+),ATP	ADP,H(+),phosphate
RHEA:57724	H(+) + 2 Na(+)(in) + oxaloacetate = CO2 + 2 Na(+)(out) + pyruvate	CHEBI:29101,CHEBI:15378,CHEBI:16452	CHEBI:29101,CHEBI:15361,CHEBI:16526	Na(+),H(+),oxaloacetate	Na(+),pyruvate,CO2
RHEA:57952	H(+) + NADH + O2 + phenol = catechol + H2O + NAD(+)	CHEBI:15882,CHEBI:15379,CHEBI:57945,CHEBI:15378	CHEBI:15377,CHEBI:18135,CHEBI:57540	phenol,O2,NADH,H(+)	H2O,catechol,NAD(+)
RHEA:58156	ATP + H2O + 4 Na(+)(in) = ADP + H(+) + 4 Na(+)(out) + phosphate	CHEBI:15377,CHEBI:29101,CHEBI:30616	CHEBI:29101,CHEBI:456216,CHEBI:15378,CHEBI:43474	H2O,Na(+),ATP	Na(+),ADP,H(+),phosphate
RHEA:58496	choline + H(+) + NADH + O2 = glycolaldehyde + H2O + NAD(+) + trimethylamine	CHEBI:15379,CHEBI:57945,CHEBI:15378,CHEBI:15354	CHEBI:15377,CHEBI:57540,CHEBI:17071,CHEBI:58389	O2,NADH,H(+),choline	H2O,NAD(+),glycolaldehyde,trimethylamine
RHEA:58500	betaine + H(+) + NADH + O2 = glyoxylate + H2O + NAD(+) + trimethylamine	CHEBI:15379,CHEBI:57945,CHEBI:15378,CHEBI:17750	CHEBI:15377,CHEBI:36655,CHEBI:57540,CHEBI:58389	O2,NADH,H(+),betaine	H2O,glyoxylate,NAD(+),trimethylamine
RHEA:58820	H(+) + malonate + Na(+)(in) = acetate + CO2 + Na(+)(out)	CHEBI:29101,CHEBI:15378,CHEBI:15792	CHEBI:29101,CHEBI:16526,CHEBI:30089	Na(+),H(+),malonate	Na(+),CO2,acetate
RHEA:58916	2 [Fe(II)-cytochrome b5] + 2 H(+) + O2 + squalene = (S)-2,3-epoxysqualene + 2 [Fe(III)-cytochrome b5] + H2O	CHEBI:15379,CHEBI:15378,CHEBI:15440,GENERIC:10438	CHEBI:15377,CHEBI:15441,GENERIC:10439	O2,H(+),squalene,[Fe(II)-cytochrome b5]	H2O,(S)-2,3-epoxysqualene,[Fe(III)-cytochrome b5]
RHEA:59112	ATP + L-serine = ADP + H(+) + O-phospho-L-serine	CHEBI:33384,CHEBI:30616	CHEBI:57524,CHEBI:456216,CHEBI:15378	L-serine,ATP	O-phospho-L-serine,ADP,H(+)
RHEA:59176	ADP + L-serine = AMP + H(+) + O-phospho-L-serine	CHEBI:456216,CHEBI:33384	CHEBI:57524,CHEBI:456215,CHEBI:15378	ADP,L-serine	O-phospho-L-serine,AMP,H(+)
RHEA:59420	H2O + methylamine + O2 = formaldehyde + H2O2 + NH4(+)	CHEBI:15379,CHEBI:15377,CHEBI:59338	CHEBI:28938,CHEBI:16842,CHEBI:16240	O2,H2O,methylamine	NH4(+),formaldehyde,H2O2
RHEA:60156	ATP + D-galactose(out) + H2O = ADP + D-galactose(in) + H(+) + phosphate	CHEBI:15377,CHEBI:4139,CHEBI:30616	CHEBI:456216,CHEBI:15378,CHEBI:4139,CHEBI:43474	H2O,D-galactose,ATP	ADP,H(+),D-galactose,phosphate
RHEA:60180	ATP + D-fructose(out) + H2O = ADP + D-fructose(in) + H(+) + phosphate	CHEBI:15377,CHEBI:37721,CHEBI:30616	CHEBI:456216,CHEBI:15378,CHEBI:43474,CHEBI:37721	H2O,D-fructose,ATP	ADP,H(+),phosphate,D-fructose
RHEA:60184	ATP + D-glucose(out) + H2O = ADP + D-glucose(in) + H(+) + phosphate	CHEBI:15377,CHEBI:4167,CHEBI:30616	CHEBI:456216,CHEBI:15378,CHEBI:43474,CHEBI:4167	H2O,D-glucose,ATP	ADP,H(+),phosphate,D-glucose
RHEA:61236	H2O + L-methionine + O2 = 4-methylsulfanyl-2-oxobutanoate + H2O2 + NH4(+)	CHEBI:15379,CHEBI:15377,CHEBI:57844	CHEBI:16723,CHEBI:28938,CHEBI:16240	O2,H2O,L-methionine	4-methylsulfanyl-2-oxobutanoate,NH4(+),H2O2
RHEA:61240	H2O + L-phenylalanine + O2 = 3-phenylpyruvate + H2O2 + NH4(+)	CHEBI:15379,CHEBI:15377,CHEBI:58095	CHEBI:28938,CHEBI:18005,CHEBI:16240	O2,H2O,L-phenylalanine	NH4(+),3-phenylpyruvate,H2O2
RHEA:61244	H2O + L-tryptophan + O2 = H2O2 + indole-3-pyruvate + NH4(+)	CHEBI:15379,CHEBI:15377,CHEBI:57912	CHEBI:28938,CHEBI:16240,CHEBI:17640	O2,H2O,L-tryptophan	NH4(+),H2O2,indole-3-pyruvate
RHEA:61248	H2O + L-tyrosine + O2 = 3-(4-hydroxyphenyl)pyruvate + H2O2 + NH4(+)	CHEBI:58315,CHEBI:15379,CHEBI:15377	CHEBI:28938,CHEBI:16240,CHEBI:36242	L-tyrosine,O2,H2O	NH4(+),H2O2,3-(4-hydroxyphenyl)pyruvate
RHEA:61252	H2O + L-valine + O2 = 3-methyl-2-oxobutanoate + H2O2 + NH4(+)	CHEBI:15379,CHEBI:57762,CHEBI:15377	CHEBI:28938,CHEBI:11851,CHEBI:16240	O2,L-valine,H2O	NH4(+),3-methyl-2-oxobutanoate,H2O2
RHEA:61264	H2O + L-alanine + O2 = H2O2 + NH4(+) + pyruvate	CHEBI:15379,CHEBI:15377,CHEBI:57972	CHEBI:28938,CHEBI:16240,CHEBI:15361	O2,H2O,L-alanine	NH4(+),H2O2,pyruvate
RHEA:61280	4-aminobutanoate + H2O + O2 = H2O2 + NH4(+) + succinate semialdehyde	CHEBI:15379,CHEBI:15377,CHEBI:59888	CHEBI:28938,CHEBI:16240,CHEBI:57706	O2,H2O,4-aminobutanoate	NH4(+),H2O2,succinate semialdehyde
RHEA:61340	(S)-methylmalonyl-CoA + H(+) = CO2 + propanoyl-CoA	CHEBI:15378,CHEBI:57327	CHEBI:57392,CHEBI:16526	H(+),(S)-methylmalonyl-CoA	propanoyl-CoA,CO2
RHEA:61352	ATP + H2O + riboflavin(in) = ADP + H(+) + phosphate + riboflavin(out)	CHEBI:15377,CHEBI:57986,CHEBI:30616	CHEBI:456216,CHEBI:15378,CHEBI:57986,CHEBI:43474	H2O,riboflavin,ATP	ADP,H(+),riboflavin,phosphate
RHEA:61388	ATP + biotin(in) + H2O = ADP + biotin(out) + H(+) + phosphate	CHEBI:15377,CHEBI:57586,CHEBI:30616	CHEBI:456216,CHEBI:57586,CHEBI:15378,CHEBI:43474	H2O,biotin,ATP	ADP,biotin,H(+),phosphate
RHEA:61436	ADP + H2O = AMP + H(+) + phosphate	CHEBI:15377,CHEBI:456216	CHEBI:456215,CHEBI:15378,CHEBI:43474	H2O,ADP	AMP,H(+),phosphate
